matchsource,matchseq,matchid,mapid,time,p_date,bnetid,heroid,teamid,eventtype,roletype,pos_x,pos_y,pos_z,amount
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2981523,20160327,74845701,207165582859042823,0,damage,giver,23.5625,57.3681640625,-153.5556640625,50.0
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,3155950,20160327,56472522,207165582859042825,1,damage,giver,41.9697265625,60.6083984375,-154.5556640625,2.880000114440918
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,3277726,20160327,70516858,207165582859042825,0,damage,giver,23.9345703125,57.365234375,-155.453125,6.420000076293945
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2514757,20160327,50706910,207165582859042819,1,damage,giver,42.7509765625,60.5126953125,-153.849609375,12.0
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2500473,20160327,52169656,207165582859042920,0,damage,giver,28.630859375,57.369140625,-157.419921875,2.8203189373016357
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2569577,20160327,50706910,207165582859042819,1,damage,giver,24.6806640625,61.6396484375,-145.6650390625,4.416595935821533
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2699321,20160327,50706910,207165582859042819,1,damage,giver,35.583984375,60.74609375,-151.7001953125,12.0
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2924297,20160327,70516858,207165582859042937,0,damage,giver,27.78515625,57.365234375,-159.0986328125,32.0
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2926205,20160327,56472522,207165582859042825,1,damage,giver,28.77734375,60.7119140625,-170.9013671875,5.760000228881836
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,3001857,20160327,55382056,207165582859042926,0,damage,giver,33.7001953125,57.6552734375,-141.9541015625,17.0
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,3141476,20160327,52169656,207165582859042920,0,damage,giver,47.140625,60.369140625,-156.3310546875,1.5200001001358032
